onset	duration	trial_type	language
0.0	1.5	APPLE	EN
1.5	1.5	PARK	EN
3.0	1.5	MORNING	EN
4.5	1.5	BOOK	EN
6.0	1.5	CHINA	EN
7.5	1.5	AFTERNOON	EN
9.0	1.5	NOSE	EN
10.5	1.5	MOUTH	EN
12.0	1.5	EVENING	EN
13.5	1.5	EAR	EN
15.0	1.5	MORNING	EN
16.5	1.5	PARK	EN
18.0	1.5	CHINA	EN
19.5	1.5	MOUTH	EN
21.0	1.5	AFTERNOON	EN
22.5	1.5	NOSE	EN
24.0	1.5	BOOK	EN
25.5	1.5	EVENING	EN
27.0	1.5	APPLE	EN
28.5	1.5	EAR	EN
30.0	1.5	PARK	EN
31.5	1.5	MOUTH	EN
33.0	1.5	CHINA	EN
34.5	1.5	NOSE	EN
36.0	1.5	MORNING	EN
37.5	1.5	AFTERNOON	EN
39.0	1.5	BOOK	EN
40.5	1.5	EAR	EN
42.0	1.5	APPLE	EN
43.5	1.5	EVENING	EN
45.0	1.5	BOOK	EN
46.5	1.5	APPLE	EN
48.0	1.5	EAR	EN
49.5	1.5	MORNING	EN
51.0	1.5	CHINA	EN
52.5	1.5	AFTERNOON	EN
54.0	1.5	NOSE	EN
55.5	1.5	MOUTH	EN
57.0	1.5	PARK	EN
58.5	1.5	EVENING	EN
60.0	1.5	MORNING	EN
61.5	1.5	PARK	EN
63.0	1.5	CHINA	EN
64.5	1.5	MOUTH	EN
66.0	1.5	AFTERNOON	EN
67.5	1.5	NOSE	EN
69.0	1.5	BOOK	EN
70.5	1.5	EVENING	EN
72.0	1.5	APPLE	EN
73.5	1.5	EAR	EN
75.0	1.5	PARK	EN
76.5	1.5	MOUTH	EN
78.0	1.5	CHINA	EN
79.5	1.5	NOSE	EN
81.0	1.5	MORNING	EN
82.5	1.5	AFTERNOON	EN
84.0	1.5	BOOK	EN
85.5	1.5	EAR	EN
87.0	1.5	APPLE	EN
88.5	1.5	EVENING	EN
90.0	1.5	CHINA	EN
91.5	1.5	APPLE	EN
93.0	1.5	MORNING	EN
94.5	1.5	BOOK	EN
96.0	1.5	MOUTH	EN
97.5	1.5	AFTERNOON	EN
99.0	1.5	PARK	EN
100.5	1.5	NOSE	EN
102.0	1.5	EAR	EN
103.5	1.5	MORNING	EN
105.0	1.5	NOSE	EN
106.5	1.5	PARK	EN
108.0	1.5	CHINA	EN
109.5	1.5	MOUTH	EN
111.0	1.5	AFTERNOON	EN
112.5	1.5	BOOK	EN
114.0	1.5	EVENING	EN
115.5	1.5	APPLE	EN
117.0	1.5	EAR	EN
118.5	1.5	PARK	EN
120.0	1.5	MOUTH	EN
121.5	1.5	CHINA	EN
123.0	1.5	NOSE	EN
124.5	1.5	MORNING	EN
126.0	1.5	BOOK	EN
127.5	1.5	EAR	EN
129.0	1.5	EVENING	EN
130.5	1.5	APPLE	EN
132.0	1.5	AFTERNOON	EN
133.5	1.5	APPLE	EN
135.0	1.5	PARK	EN
136.5	1.5	MORNING	EN
138.0	1.5	BOOK	EN
139.5	1.5	CHINA	EN
141.0	1.5	AFTERNOON	EN
142.5	1.5	NOSE	EN
144.0	1.5	MOUTH	EN
145.5	1.5	EVENING	EN
147.0	1.5	EAR	EN
148.5	1.5	MORNING	EN
150.0	1.5	PARK	EN
151.5	1.5	CHINA	EN
153.0	1.5	MOUTH	EN
154.5	1.5	AFTERNOON	EN
156.0	1.5	NOSE	EN
157.5	1.5	BOOK	EN
159.0	1.5	EVENING	EN
160.5	1.5	APPLE	EN
162.0	1.5	EAR	EN
163.5	1.5	PARK	EN
165.0	1.5	MOUTH	EN
166.5	1.5	CHINA	EN
168.0	1.5	NOSE	EN
169.5	1.5	MORNING	EN
171.0	1.5	AFTERNOON	EN
172.5	1.5	BOOK	EN
174.0	1.5	EAR	EN
175.5	1.5	APPLE	EN
177.0	1.5	EVENING	EN
178.5	1.5	APPLE	EN
180.0	1.5	PARK	EN
181.5	1.5	MORNING	EN
183.0	1.5	BOOK	EN
184.5	1.5	CHINA	EN
186.0	1.5	AFTERNOON	EN
187.5	1.5	NOSE	EN
189.0	1.5	MOUTH	EN
190.5	1.5	EVENING	EN
192.0	1.5	EAR	EN
193.5	1.5	MORNING	EN
195.0	1.5	PARK	EN
196.5	1.5	CHINA	EN
198.0	1.5	MOUTH	EN
199.5	1.5	AFTERNOON	EN
201.0	1.5	NOSE	EN
202.5	1.5	BOOK	EN
204.0	1.5	EVENING	EN
205.5	1.5	APPLE	EN
207.0	1.5	EAR	EN
208.5	1.5	PARK	EN
210.0	1.5	MOUTH	EN
211.5	1.5	CHINA	EN
213.0	1.5	NOSE	EN
214.5	1.5	MORNING	EN
216.0	1.5	AFTERNOON	EN
217.5	1.5	BOOK	EN
219.0	1.5	EAR	EN
220.5	1.5	APPLE	EN
222.0	1.5	EVENING	EN
223.5	1.5	BOOK	EN
225.0	1.5	APPLE	EN
226.5	1.5	EAR	EN
228.0	1.5	MORNING	EN
229.5	1.5	CHINA	EN
231.0	1.5	AFTERNOON	EN
232.5	1.5	NOSE	EN
234.0	1.5	MOUTH	EN
235.5	1.5	PARK	EN
237.0	1.5	MORNING	EN
238.5	1.5	PARK	EN
240.0	1.5	CHINA	EN
241.5	1.5	MOUTH	EN
243.0	1.5	AFTERNOON	EN
244.5	1.5	NOSE	EN
246.0	1.5	BOOK	EN
247.5	1.5	EVENING	EN
249.0	1.5	APPLE	EN
250.5	1.5	EAR	EN
252.0	1.5	PARK	EN
253.5	1.5	MOUTH	EN
255.0	1.5	CHINA	EN
256.5	1.5	NOSE	EN
258.0	1.5	MORNING	EN
259.5	1.5	AFTERNOON	EN
261.0	1.5	BOOK	EN
262.5	1.5	EAR	EN
264.0	1.5	APPLE	EN
265.5	1.5	EVENING	EN
267.0	1.5	CHINA	EN
268.5	1.5	APPLE	EN
270.0	1.5	MORNING	EN
271.5	1.5	BOOK	EN
273.0	1.5	MOUTH	EN
274.5	1.5	AFTERNOON	EN
276.0	1.5	PARK	EN
277.5	1.5	NOSE	EN
279.0	1.5	EVENING	EN
280.5	1.5	EAR	EN
282.0	1.5	MORNING	EN
283.5	1.5	NOSE	EN
285.0	1.5	PARK	EN
286.5	1.5	CHINA	EN
288.0	1.5	MOUTH	EN
289.5	1.5	AFTERNOON	EN
291.0	1.5	BOOK	EN
292.5	1.5	EVENING	EN
294.0	1.5	APPLE	EN
295.5	1.5	EAR	EN
297.0	1.5	PARK	EN
298.5	1.5	MOUTH	EN
300.0	1.5	CHINA	EN
301.5	1.5	NOSE	EN
303.0	1.5	MORNING	EN
304.5	1.5	BOOK	EN
306.0	1.5	EAR	EN
307.5	1.5	EVENING	EN
309.0	1.5	APPLE	EN
310.5	1.5	AFTERNOON	EN
312.0	1.5	APPLE	EN
313.5	1.5	PARK	EN
315.0	1.5	MORNING	EN
316.5	1.5	BOOK	EN
318.0	1.5	CHINA	EN
319.5	1.5	AFTERNOON	EN
321.0	1.5	NOSE	EN
322.5	1.5	MOUTH	EN
324.0	1.5	EVENING	EN
325.5	1.5	EAR	EN
327.0	1.5	MORNING	EN
328.5	1.5	PARK	EN
330.0	1.5	CHINA	EN
331.5	1.5	MOUTH	EN
333.0	1.5	AFTERNOON	EN
334.5	1.5	BOOK	EN
336.0	1.5	EVENING	EN
337.5	1.5	APPLE	EN
339.0	1.5	EAR	EN
340.5	1.5	PARK	EN
342.0	1.5	MOUTH	EN
343.5	1.5	CHINA	EN
345.0	1.5	NOSE	EN
346.5	1.5	MORNING	EN
348.0	1.5	AFTERNOON	EN
349.5	1.5	BOOK	EN
351.0	1.5	EAR	EN
352.5	1.5	APPLE	EN
354.0	1.5	EVENING	EN
