onset	duration	trial_type	language
0.0	1.5	0	DIGIT
1.5	1.5	1	DIGIT
3.0	1.5	2	DIGIT
4.5	1.5	3	DIGIT
6.0	1.5	4	DIGIT
7.5	1.5	5	DIGIT
9.0	1.5	6	DIGIT
10.5	1.5	7	DIGIT
12.0	1.5	8	DIGIT
13.5	1.5	9	DIGIT
15.0	1.5	2	DIGIT
16.5	1.5	4	DIGIT
18.0	1.5	5	DIGIT
19.5	1.5	7	DIGIT
21.0	1.5	1	DIGIT
22.5	1.5	9	DIGIT
24.0	1.5	8	DIGIT
25.5	1.5	0	DIGIT
27.0	1.5	3	DIGIT
28.5	1.5	6	DIGIT
30.0	1.5	4	DIGIT
31.5	1.5	2	DIGIT
33.0	1.5	1	DIGIT
34.5	1.5	7	DIGIT
36.0	1.5	9	DIGIT
37.5	1.5	6	DIGIT
39.0	1.5	0	DIGIT
40.5	1.5	8	DIGIT
42.0	1.5	1	DIGIT
43.5	1.5	3	DIGIT
45.0	1.5	1	DIGIT
46.5	1.5	4	DIGIT
48.0	1.5	9	DIGIT
49.5	1.5	0	DIGIT
51.0	1.5	2	DIGIT
52.5	1.5	5	DIGIT
54.0	1.5	3	DIGIT
55.5	1.5	7	DIGIT
57.0	1.5	8	DIGIT
58.5	1.5	6	DIGIT
60.0	1.5	2	DIGIT
61.5	1.5	3	DIGIT
63.0	1.5	7	DIGIT
64.5	1.5	1	DIGIT
66.0	1.5	6	DIGIT
67.5	1.5	0	DIGIT
69.0	1.5	5	DIGIT
70.5	1.5	4	DIGIT
72.0	1.5	9	DIGIT
73.5	1.5	8	DIGIT
75.0	1.5	1	DIGIT
76.5	1.5	9	DIGIT
78.0	1.5	4	DIGIT
79.5	1.5	5	DIGIT
81.0	1.5	0	DIGIT
82.5	1.5	2	DIGIT
84.0	1.5	3	DIGIT
85.5	1.5	7	DIGIT
87.0	1.5	8	DIGIT
88.5	1.5	6	DIGIT
90.0	1.5	2	DIGIT
91.5	1.5	0	DIGIT
93.0	1.5	5	DIGIT
94.5	1.5	3	DIGIT
96.0	1.5	1	DIGIT
97.5	1.5	7	DIGIT
99.0	1.5	9	DIGIT
100.5	1.5	4	DIGIT
102.0	1.5	6	DIGIT
103.5	1.5	8	DIGIT
105.0	1.5	2	DIGIT
106.5	1.5	4	DIGIT
108.0	1.5	5	DIGIT
109.5	1.5	9	DIGIT
111.0	1.5	7	DIGIT
112.5	1.5	1	DIGIT
114.0	1.5	0	DIGIT
115.5	1.5	8	DIGIT
117.0	1.5	3	DIGIT
118.5	1.5	1	DIGIT
120.0	1.5	4	DIGIT
121.5	1.5	6	DIGIT
123.0	1.5	7	DIGIT
124.5	1.5	2	DIGIT
126.0	1.5	9	DIGIT
127.5	1.5	6	DIGIT
129.0	1.5	0	DIGIT
130.5	1.5	3	DIGIT
132.0	1.5	8	DIGIT
133.5	1.5	1	DIGIT
135.0	1.5	4	DIGIT
136.5	1.5	1	DIGIT
138.0	1.5	0	DIGIT
139.5	1.5	9	DIGIT
141.0	1.5	2	DIGIT
142.5	1.5	7	DIGIT
144.0	1.5	5	DIGIT
145.5	1.5	3	DIGIT
147.0	1.5	6	DIGIT
148.5	1.5	8	DIGIT
150.0	1.5	8	DIGIT
151.5	1.5	1	DIGIT
153.0	1.5	3	DIGIT
154.5	1.5	2	DIGIT
156.0	1.5	4	DIGIT
157.5	1.5	5	DIGIT
159.0	1.5	0	DIGIT
160.5	1.5	6	DIGIT
162.0	1.5	9	DIGIT
163.5	1.5	7	DIGIT
165.0	1.5	9	DIGIT
166.5	1.5	1	DIGIT
168.0	1.5	2	DIGIT
169.5	1.5	0	DIGIT
171.0	1.5	7	DIGIT
172.5	1.5	4	DIGIT
174.0	1.5	6	DIGIT
175.5	1.5	5	DIGIT
177.0	1.5	8	DIGIT
178.5	1.5	3	DIGIT
180.0	1.5	7	DIGIT
181.5	1.5	8	DIGIT
183.0	1.5	0	DIGIT
184.5	1.5	5	DIGIT
186.0	1.5	2	DIGIT
187.5	1.5	3	DIGIT
189.0	1.5	1	DIGIT
190.5	1.5	6	DIGIT
192.0	1.5	4	DIGIT
193.5	1.5	9	DIGIT
195.0	1.5	5	DIGIT
196.5	1.5	2	DIGIT
198.0	1.5	4	DIGIT
199.5	1.5	1	DIGIT
201.0	1.5	7	DIGIT
202.5	1.5	9	DIGIT
204.0	1.5	0	DIGIT
205.5	1.5	8	DIGIT
207.0	1.5	3	DIGIT
208.5	1.5	4	DIGIT
210.0	1.5	6	DIGIT
211.5	1.5	2	DIGIT
213.0	1.5	7	DIGIT
214.5	1.5	1	DIGIT
216.0	1.5	9	DIGIT
217.5	1.5	0	DIGIT
219.0	1.5	8	DIGIT
220.5	1.5	6	DIGIT
222.0	1.5	1	DIGIT
223.5	1.5	3	DIGIT
225.0	1.5	4	DIGIT
226.5	1.5	0	DIGIT
228.0	1.5	9	DIGIT
229.5	1.5	1	DIGIT
231.0	1.5	5	DIGIT
232.5	1.5	7	DIGIT
234.0	1.5	3	DIGIT
235.5	1.5	2	DIGIT
237.0	1.5	8	DIGIT
238.5	1.5	6	DIGIT
240.0	1.5	5	DIGIT
241.5	1.5	0	DIGIT
243.0	1.5	4	DIGIT
244.5	1.5	7	DIGIT
246.0	1.5	2	DIGIT
247.5	1.5	1	DIGIT
249.0	1.5	9	DIGIT
250.5	1.5	3	DIGIT
