onset	duration	trial_type	language
0.0	1.5	APPLE	EN
1.5	1.5	PARK	EN
3.0	1.5	MORNING	EN
4.5	1.5	BOOK	EN
6.0	1.5	CHINA	EN
7.5	1.5	AFTERNOON	EN
9.0	1.5	NOSE	EN
10.5	1.5	MOUTH	EN
12.0	1.5	EVENING	EN
13.5	1.5	EAR	EN
15.0	1.5	MORNING	EN
16.5	1.5	PARK	EN
18.0	1.5	CHINA	EN
19.5	1.5	MOUTH	EN
21.0	1.5	AFTERNOON	EN
22.5	1.5	NOSE	EN
24.0	1.5	BOOK	EN
25.5	1.5	EVENING	EN
27.0	1.5	APPLE	EN
28.5	1.5	EAR	EN
30.0	1.5	PARK	EN
31.5	1.5	MOUTH	EN
33.0	1.5	CHINA	EN
34.5	1.5	NOSE	EN
36.0	1.5	MORNING	EN
37.5	1.5	AFTERNOON	EN
39.0	1.5	BOOK	EN
40.5	1.5	EAR	EN
42.0	1.5	APPLE	EN
43.5	1.5	EVENING	EN
45.0	1.5	BOOK	EN
46.5	1.5	APPLE	EN
48.0	1.5	EAR	EN
49.5	1.5	MORNING	EN
51.0	1.5	CHINA	EN
52.5	1.5	AFTERNOON	EN
54.0	1.5	NOSE	EN
55.5	1.5	MOUTH	EN
57.0	1.5	PARK	EN
58.5	1.5	EVENING	EN
60.0	1.5	MORNING	EN
61.5	1.5	PARK	EN
63.0	1.5	CHINA	EN
64.5	1.5	MOUTH	EN
66.0	1.5	AFTERNOON	EN
67.5	1.5	NOSE	EN
69.0	1.5	BOOK	EN
70.5	1.5	EVENING	EN
72.0	1.5	APPLE	EN
73.5	1.5	EAR	EN
75.0	1.5	PARK	EN
76.5	1.5	MOUTH	EN
78.0	1.5	CHINA	EN
79.5	1.5	NOSE	EN
81.0	1.5	MORNING	EN
82.5	1.5	AFTERNOON	EN
84.0	1.5	BOOK	EN
85.5	1.5	EAR	EN
87.0	1.5	APPLE	EN
88.5	1.5	EVENING	EN
90.0	1.5	CHINA	EN
91.5	1.5	APPLE	EN
93.0	1.5	MORNING	EN
94.5	1.5	BOOK	EN
96.0	1.5	AFTERNOON	EN
97.5	1.5	BOOK	EN
99.0	1.5	EVENING	EN
100.5	1.5	APPLE	EN
102.0	1.5	EAR	EN
103.5	1.5	PARK	EN
105.0	1.5	MOUTH	EN
106.5	1.5	CHINA	EN
108.0	1.5	NOSE	EN
109.5	1.5	MORNING	EN
111.0	1.5	BOOK	EN
112.5	1.5	EAR	EN
114.0	1.5	EVENING	EN
115.5	1.5	APPLE	EN
117.0	1.5	AFTERNOON	EN
118.5	1.5	APPLE	EN
120.0	1.5	PARK	EN
121.5	1.5	MORNING	EN
123.0	1.5	BOOK	EN
124.5	1.5	CHINA	EN
126.0	1.5	AFTERNOON	EN
127.5	1.5	NOSE	EN
129.0	1.5	MOUTH	EN
130.5	1.5	EVENING	EN
132.0	1.5	EAR	EN
133.5	1.5	MORNING	EN
135.0	1.5	PARK	EN
136.5	1.5	CHINA	EN
138.0	1.5	MOUTH	EN
139.5	1.5	AFTERNOON	EN
141.0	1.5	NOSE	EN
142.5	1.5	BOOK	EN
144.0	1.5	EVENING	EN
145.5	1.5	APPLE	EN
147.0	1.5	EAR	EN
148.5	1.5	PARK	EN
150.0	1.5	MOUTH	EN
151.5	1.5	CHINA	EN
153.0	1.5	NOSE	EN
154.5	1.5	MORNING	EN
156.0	1.5	AFTERNOON	EN
157.5	1.5	BOOK	EN
159.0	1.5	EAR	EN
160.5	1.5	APPLE	EN
162.0	1.5	EVENING	EN
163.5	1.5	APPLE	EN
165.0	1.5	PARK	EN
166.5	1.5	MORNING	EN
168.0	1.5	BOOK	EN
169.5	1.5	CHINA	EN
171.0	1.5	AFTERNOON	EN
172.5	1.5	NOSE	EN
174.0	1.5	MOUTH	EN
175.5	1.5	EVENING	EN
177.0	1.5	EAR	EN
178.5	1.5	MORNING	EN
180.0	1.5	PARK	EN
181.5	1.5	CHINA	EN
183.0	1.5	MOUTH	EN
184.5	1.5	AFTERNOON	EN
186.0	1.5	NOSE	EN
187.5	1.5	BOOK	EN
189.0	1.5	EVENING	EN
190.5	1.5	APPLE	EN
192.0	1.5	EAR	EN
193.5	1.5	PARK	EN
195.0	1.5	MOUTH	EN
196.5	1.5	CHINA	EN
198.0	1.5	NOSE	EN
199.5	1.5	MORNING	EN
201.0	1.5	AFTERNOON	EN
202.5	1.5	BOOK	EN
204.0	1.5	EAR	EN
205.5	1.5	APPLE	EN
207.0	1.5	EVENING	EN
208.5	1.5	BOOK	EN
210.0	1.5	APPLE	EN
211.5	1.5	EAR	EN
213.0	1.5	MORNING	EN
214.5	1.5	CHINA	EN
216.0	1.5	AFTERNOON	EN
217.5	1.5	NOSE	EN
219.0	1.5	MOUTH	EN
220.5	1.5	PARK	EN
222.0	1.5	EVENING	EN
223.5	1.5	MORNING	EN
225.0	1.5	PARK	EN
226.5	1.5	CHINA	EN
228.0	1.5	MOUTH	EN
229.5	1.5	AFTERNOON	EN
231.0	1.5	NOSE	EN
232.5	1.5	BOOK	EN
234.0	1.5	EVENING	EN
235.5	1.5	APPLE	EN
237.0	1.5	EAR	EN
238.5	1.5	PARK	EN
240.0	1.5	MOUTH	EN
241.5	1.5	CHINA	EN
243.0	1.5	NOSE	EN
244.5	1.5	MORNING	EN
246.0	1.5	AFTERNOON	EN
247.5	1.5	BOOK	EN
249.0	1.5	EAR	EN
250.5	1.5	APPLE	EN
252.0	1.5	EVENING	EN
253.5	1.5	CHINA	EN
255.0	1.5	APPLE	EN
256.5	1.5	MORNING	EN
258.0	1.5	BOOK	EN
259.5	1.5	MOUTH	EN
261.0	1.5	AFTERNOON	EN
262.5	1.5	PARK	EN
264.0	1.5	NOSE	EN
265.5	1.5	EVENING	EN
267.0	1.5	MORNING	EN
268.5	1.5	NOSE	EN
270.0	1.5	PARK	EN
271.5	1.5	CHINA	EN
273.0	1.5	MOUTH	EN
274.5	1.5	AFTERNOON	EN
276.0	1.5	BOOK	EN
277.5	1.5	EVENING	EN
279.0	1.5	APPLE	EN
280.5	1.5	EAR	EN
282.0	1.5	PARK	EN
283.5	1.5	MOUTH	EN
285.0	1.5	CHINA	EN
286.5	1.5	NOSE	EN
288.0	1.5	MORNING	EN
289.5	1.5	BOOK	EN
291.0	1.5	EAR	EN
292.5	1.5	EVENING	EN
294.0	1.5	APPLE	EN
295.5	1.5	AFTERNOON	EN
297.0	1.5	APPLE	EN
298.5	1.5	PARK	EN
300.0	1.5	MORNING	EN
301.5	1.5	BOOK	EN
303.0	1.5	CHINA	EN
304.5	1.5	AFTERNOON	EN
306.0	1.5	NOSE	EN
307.5	1.5	MOUTH	EN
309.0	1.5	EVENING	EN
310.5	1.5	EAR	EN
312.0	1.5	MORNING	EN
313.5	1.5	PARK	EN
315.0	1.5	CHINA	EN
316.5	1.5	MOUTH	EN
318.0	1.5	AFTERNOON	EN
319.5	1.5	NOSE	EN
321.0	1.5	BOOK	EN
322.5	1.5	EVENING	EN
324.0	1.5	APPLE	EN
325.5	1.5	EAR	EN
327.0	1.5	PARK	EN
328.5	1.5	MOUTH	EN
330.0	1.5	CHINA	EN
331.5	1.5	NOSE	EN
333.0	1.5	MORNING	EN
334.5	1.5	AFTERNOON	EN
336.0	1.5	BOOK	EN
337.5	1.5	EAR	EN
339.0	1.5	APPLE	EN
340.5	1.5	EVENING	EN
